Country,Name,Source,Location,Capacity,Status,Start,Owner,Capital,HQ,Link,Latitude,Longitude
Peru,CENTRAL SOLAR INTIPAMPA,Solar,Moquegua,40,Em operação,2017,ENGIE ENERGIA PERU S.A.,Privado,La Defénse (França),https://www.osinergmin.gob.pe/seccion/centro_documental/electricidad/Documentos/PROYECTOS%20GFE/Acorde%C3%B3n/Generaci%C3%B3n/1.6.7.pdf,-17.230536,-70.859378
Peru,CENTRAL TACNA SOLAR,Solar,Tacna,20,Em operação,2012,TACNA SOLAR S.A.C.,Privado,Biscay (Espanha),https://www.osinergmin.gob.pe/seccion/centro_documental/electricidad/Documentos/PROYECTOS%20GFE/Acorde%C3%B3n/Generaci%C3%B3n/1.6.3.pdf,-17.993963,-70.333113
República Dominicana,Montecristi Solar,Solar,Montecristi,58,Em operação,2018,Montecristi Solar FV SAS (F&S Solar Concept/Blue Elephant Energy),Privado,Esperilla (República Dominicana),https://fs-sun.com/references/solar-parks/largest-solar-power-plant-(116-mw)-in-the-caribbean,19.708796,-71.379932
República Dominicana,El Guanillo,Eólica,El Copey,50,Em operação,2019,Akuo Energy,Privado,Paris (França),https://www.akuoenergy.com/en/pecasa,19.7964113,-71.3218311
República Dominicana,Los Cocos I-II-III-IV,Eólica,Pedernales,85,Em operação,2010-2011-2013,EGE Haina,Privado,Santo Domingo (República Dominicana),https://www.egehaina.com/Centrales?name=LOSCOCOS,17.8751719,-71.291064
República Dominicana,Larimar I-II,Eólica,Barahona,97.8,Em operação,2016-2018,EGE Haina,Privado,Santo Domingo (República Dominicana),https://www.egehaina.com/Centrales?name=Larimar,17.9007286,-71.2481073
República Dominicana,Agua Clara,Eólica,Montecristi,50,Em operação,2019,Inkie Energy Inc. (I Squared Capital),Privado,Lima (Peru),https://inkiaenergy.com/negocios/nuestro-portafolio/,19.6937702,-71.222699
República Dominicana,Canoa Solar,Solar,Barahona,25,Em operação,2020,Emerald Solar Energy (Potentia Renewables/Grupo Cisneros),Privado,Toronto (Canadá),https://potentiaprod.wpengine.com/?post_type=project&p=3211,18.3474477,-71.1425473
República Dominicana,Puerto Plata Imbert,Eólica,Puerto Plata,115,Em operação,2020,Jasper Caribbean Eólicapower LLC,Privado,Santo Domingo (República Dominicana),http://perco.com.do/energia-renovable/,19.7614355,-70.9746073
República Dominicana,Los Guzmancitos,Eólica,Puerto Plata,48,Em operação,2019,Poseidón Energía Renovable. S.A. (Valorem),Privado,Santo Domingo (República Dominicana),https://www.cne.gob.do/parque-eolico-los-guzmancito/,19.8767606,-70.8345248
República Dominicana,Matafongo,Eólica,Baní,34,Em operação,2019,InterEnergy Group/Fon­do Cerrado de Desarrollo de Sociedades Popular,Privado,Nova York (EUA),https://interenergy.com/portfolio/,18.2641951,-70.4931233
República Dominicana,EDP Baní,Solar,Peravia,160,Planejado,Indeterminado,EDP Energías Renovables Dominicana S.A. (Energy Development Partners),Indeterminado,Santo Domingo (República Dominicana),https://www.cne.gob.do/edp-energias-renovables-dominicana-s/,18.3644923,-70.4581074
República Dominicana,Bayasol,Solar,Matanzas,50,Em operação,2021,AES Dominicana,Privado,Santo Domingo (República Dominicana),https://www.grupotsk.com/el-presidente-de-republica-dominicana-luis-abinader-inaugura-la-planta-solar-aes-bayasol-suministrada-por-tsk/,18.3256102,-70.4433777
República Dominicana,Santanasol,Solar,Peravia,65,Em construção,Indeterminado,AES Dominicana,Privado,Santo Domingo (República Dominicana),https://www.cne.gob.do/parque-santanasol/,18.269486,-70.258426
República Dominicana,Girasol,Solar,Yaguate,120,Em operação,2021,EGE Haina,Privado,Santo Domingo (República Dominicana),https://www.egehaina.com/Centrales?name=Girasol,18.335109,-70.199318
República Dominicana,Monte Plata,Solar,Monte Plata,30,Em operação,2016,MPC Caribbean Clean Energy Fund LLC (MPC Caribbean Clean Energy Fund/ANSA McAI),Privado,St. Michael (Barbados),https://www.mpc-cleanenergy.com/,18.8201014,-69.7919716
República Dominicana,Mata de Palma,Solar,San Antonio de Guerra,50,Em operação,2019,WCG Energy. Ltd,Privado,Glendale (EUA),https://washingtoncapitalenergy.com/about-EUA/,18.6635406,-69.6252591
Trinidad e Tobago,Brechin Castle,Solar,Phoenix Park,92,Planejado,Indeterminado,Lightsource bp/bp/Shell,Privado,San Juan (Trinidad e Tobago),https://www.lightsourcebp.com/tt_en/projects/brechin-castle-solar-farm/,10.382227,-61.460219
Trinidad e Tobago,Orange Grove,Solar,Tunapuna-Piarco,20,Planejado,Indeterminado,Lightsource bp/bp/Shell,Privado,San Juan (Trinidad e Tobago),https://www.lightsourcebp.com/tt_en/projects/orange-grove-solar-farm/,10.624688,-61.359402
Trinidad e Tobago,Piarco Solar,Solar,Piarco,110,Em construção,Indeterminado,Autoridad de Aeropuerto,Estatal,Puerto Espanha (Trinidad e Tobago),https://eeas.europa.eu/delegations/trinidad-and-tobago_en/76749/Installation%20of%20a%20Solar%20Park%20at%20Piarco%20International%20Airport,10.601889,-61.331204
